,Index,ExpirationDate,Strike,CallsOI,CallsVolume
0,27,2016-11-04,207.0,729,78
1,28,2016-11-04,207.5,584,261
2,62,2016-11-04,224.5,583,255
3,71,2016-11-04,229.0,555,89
4,29,2016-11-04,208.0,477,41
5,70,2016-11-04,228.5,469,2
6,25,2016-11-04,206.0,416,19
7,77,2016-11-04,236.0,394,394
8,65,2016-11-04,226.0,341,5
9,17,2016-11-04,200.0,288,54
