,Index,ExpirationDate,Strike,PutsOI,PutsVolume
0,50,2016-11-04,218.5,770,1
1,6,2016-11-04,194.5,730,500
2,52,2016-11-04,219.5,471,1
3,57,2016-11-04,222.0,249,10
4,55,2016-11-04,221.0,198,50
5,63,2016-11-04,225.0,197,30
6,54,2016-11-04,220.5,128,23
7,79,2016-11-04,240.0,77,1
8,59,2016-11-04,223.0,74,6
9,3,2016-11-04,192.0,62,295
